,city,max_temp,humidity,wind_speed,lat,lng,country,date
130,Januária,78.28,30,5.5,-15.4833,-44.3667,BR,1628685080
131,São Filipe,76.06,81,5.99,14.8961,-24.4956,CV,1628685081
132,Yuanping,70.39,71,3.36,38.7153,112.7575,CN,1628685081
133,Avera,73.02,76,2.26,33.194,-82.5271,US,1628685081
134,Linxia Chengguanzhen,72.72,44,8.72,35.6003,103.2064,CN,1628685082
135,Mossamedes,77.63,69,11.5,-15.1961,12.1522,AO,1628685082
136,Kahului,74.46,93,8.05,20.8947,-156.47,US,1628685082
137,Ous,71.22,39,5.03,60.9058,61.5186,RU,1628685083
138,Katsuura,80.71,87,13.42,35.1333,140.3,JP,1628685083
139,Mongu,86.13,9,7.2,-15.2484,23.1274,ZM,1628685084
140,Nemuro,58.93,71,17.83,43.3236,145.575,JP,1628685084
141,Thompson,53.76,100,14.97,55.7435,-97.8558,CA,1628685085
142,Yulara,55.24,28,12.66,-25.2406,130.9889,AU,1628685085
143,Baker City,55.11,71,5.75,44.7749,-117.8344,US,1628685085
144,São João da Barra,75.29,62,8.28,-21.6403,-41.0511,BR,1628685085
145,Kawalu,70.0,88,1.03,-7.3817,108.2082,ID,1628685086
146,Lamu,82.62,68,15.97,-2.2717,40.902,KE,1628685087
147,Tutóia,84.43,57,9.62,-2.7619,-42.2744,BR,1628685087
148,Kruisfontein,69.89,39,14.27,-34.0033,24.7314,ZA,1628685087
149,Mount Gambier,50.63,87,8.05,-37.8333,140.7667,AU,1628685088
150,Souillac,75.58,73,6.91,-20.5167,57.5167,MU,1628685088
151,Egvekinot,37.98,86,3.98,66.3167,-179.1667,RU,1628685089
152,Panguna,67.59,95,1.54,-6.3164,155.4848,PG,1628685089
153,Nikolskoye,75.09,40,4.09,59.7035,30.7861,RU,1628685089
154,Poum,70.18,66,21.47,-20.2333,164.0167,NC,1628685090
155,El Carmen,69.62,89,0.47,8.5106,-73.4478,CO,1628685091
